DateTime,Temperature (°C),Humidity (%),Heat Index (°C),Wind Speed (m/s),Wind Direction (°),Pressure (hPa),Dust (µg/m³),Aerosol Optical Depth,PM2.5 (µg/m³),PM10 (µg/m³)
2023-01-01T00:00,23.1,42,20.9,14.1,356,1020.1,78.0,0.25,14.2,43.2
2023-01-01T01:00,23.2,40,20.6,15.8,348,1019.7,39.0,0.23,13.2,34.1
2023-01-01T02:00,22.8,41,20.2,15.7,344,1019.1,26.0,0.22,12.4,28.8
2023-01-01T03:00,22.5,42,20.1,15.0,350,1018.5,21.0,0.21,11.8,25.4
2023-01-01T04:00,22.1,41,19.4,15.4,349,1018.8,13.0,0.19,10.7,21.2
2023-01-01T05:00,22.3,41,19.3,17.5,352,1018.8,12.0,0.19,10.4,20.5
2023-01-01T06:00,22.1,41,18.9,18.6,351,1018.9,9.0,0.19,10.1,19.6
2023-01-01T07:00,22.0,42,18.8,19.4,345,1019.3,10.0,0.19,9.8,19.1
2023-01-01T08:00,23.2,40,20.0,19.9,347,1020.1,13.0,0.19,9.9,19.4
2023-01-01T09:00,24.9,37,21.7,19.7,351,1020.4,17.0,0.19,11.1,24.1
2023-01-01T10:00,26.3,34,23.1,20.5,359,1020.5,33.0,0.19,11.8,31.4
2023-01-01T11:00,27.9,30,25.2,18.0,12,1019.8,57.0,0.19,12.7,45.8
2023-01-01T12:00,29.1,28,26.8,19.2,13,1018.8,89.0,0.2,13.6,58.4
2023-01-01T13:00,30.1,26,27.8,19.8,10,1017.5,130.0,0.22,14.4,69.6
2023-01-01T14:00,30.3,25,28.9,12.4,26,1016.3,158.0,0.23,15.3,82.9
2023-01-01T15:00,28.9,34,28.3,9.4,108,1016.2,184.0,0.25,15.8,92.7
2023-01-01T16:00,28.3,39,27.2,13.8,97,1016.4,206.0,0.27,16.9,99.7
2023-01-01T17:00,25.8,62,26.7,13.3,128,1017.3,208.0,0.28,16.9,99.9
2023-01-01T18:00,24.7,68,26.7,7.1,131,1017.7,210.0,0.28,17.3,103.1
2023-01-01T19:00,24.1,69,26.8,2.0,135,1018.5,204.0,0.28,17.7,99.9
2023-01-01T20:00,24.0,70,26.8,1.1,342,1019.0,187.0,0.27,17.5,92.7
2023-01-01T21:00,23.3,63,24.8,3.9,338,1019.5,163.0,0.25,17.0,83.4
2023-01-01T22:00,22.8,47,22.1,6.6,338,1019.6,127.0,0.24,16.2,70.3
2023-01-01T23:00,23.0,41,21.1,11.0,349,1019.2,97.0,0.23,15.0,52.4
2023-01-02T00:00,23.0,43,20.6,15.8,359,1018.9,64.0,0.22,13.8,37.7
2023-01-02T01:00,22.7,44,20.3,16.2,356,1018.6,30.0,0.21,13.0,30.6
2023-01-02T02:00,22.2,45,20.1,14.5,353,1017.9,19.0,0.2,12.5,27.2
2023-01-02T03:00,21.9,46,19.8,13.9,350,1017.3,16.0,0.18,12.0,24.9
2023-01-02T04:00,22.3,43,19.8,15.6,353,1017.3,14.0,0.18,11.1,22.2
2023-01-02T05:00,22.5,43,19.7,17.3,358,1017.7,13.0,0.17,10.9,21.8
2023-01-02T06:00,22.4,43,19.6,17.3,358,1018.0,11.0,0.17,10.7,21.4
2023-01-02T07:00,22.3,43,19.5,17.3,356,1018.6,13.0,0.16,10.6,21.1
2023-01-02T08:00,23.6,39,20.8,17.3,356,1019.1,18.0,0.16,10.6,21.2
2023-01-02T09:00,25.7,35,22.8,18.4,354,1019.5,25.0,0.16,12.0,27.3
2023-01-02T10:00,27.5,31,23.9,22.7,2,1019.7,45.0,0.15,13.0,36.6
2023-01-02T11:00,29.0,28,25.9,22.1,6,1018.9,75.0,0.15,13.7,49.2
2023-01-02T12:00,30.2,26,27.7,20.8,10,1018.0,114.0,0.16,14.6,64.5
2023-01-02T13:00,31.1,24,29.5,17.2,16,1016.7,161.0,0.18,15.4,81.3
2023-01-02T14:00,30.9,27,30.3,11.1,65,1016.0,189.0,0.2,16.1,95.5
2023-01-02T15:00,28.7,46,28.9,15.6,130,1015.9,214.0,0.23,16.3,102.4
2023-01-02T16:00,26.3,54,26.8,11.4,145,1016.3,176.0,0.22,15.4,85.9
2023-01-02T17:00,25.6,56,26.9,6.4,153,1016.7,159.0,0.23,15.3,82.4
2023-01-02T18:00,24.4,60,26.1,2.9,240,1017.3,135.0,0.23,15.5,76.1
2023-01-02T19:00,24.2,62,25.7,4.7,293,1018.0,104.0,0.23,15.4,61.0
2023-01-02T20:00,24.1,64,26.0,3.4,302,1018.4,85.0,0.22,14.8,50.3
2023-01-02T21:00,23.5,66,25.2,4.8,283,1019.0,68.0,0.21,14.3,44.4
2023-01-02T22:00,23.1,62,23.9,6.5,289,1019.2,49.0,0.19,13.9,39.2
2023-01-02T23:00,22.4,52,22.1,5.9,313,1019.2,39.0,0.18,13.4,34.6
2023-01-03T00:00,22.0,45,20.9,6.3,336,1019.0,32.0,0.17,12.8,30.7
2023-01-03T01:00,21.8,45,20.4,8.6,345,1018.7,25.0,0.16,12.3,27.9
2023-01-03T02:00,22.2,45,20.4,12.1,350,1018.3,21.0,0.15,11.9,25.7
